"filename", "language", "C#", "ASP.NET Razor", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDetayForm.Designer.cs", "C#", 17, 0, 0, 0, 3, 2, 22
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDetayForm.cs", "C#", 50, 0, 0, 0, 8, 10, 68
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDuzenleForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDuzenleForm.cs", "C#", 229, 0, 0, 0, 27, 35, 291
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaSilForm.Designer.cs", "C#", 463, 0, 0, 0, 113, 8, 584
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaSilForm.cs", "C#", 213, 0, 0, 0, 10, 34, 257
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturalariForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturalariForm.cs", "C#", 28, 0, 0, 0, 2, 9, 39
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturasiEkleForm.Designer.cs", "C#", 3, 0, 0, 0, 1, 2, 6
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturasiEkleForm.cs", "C#", 7, 0, 0, 0, 6, 2, 15
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\BaseForm.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDetayForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDetayForm.cs", "C#", -2, 0, 0, 0, 0, 2, 0
